count,mask,coin_dir,crate_dir,bomb_yield,danger,opp_dir,attack
1004,53,0,4,0,0,4,0
9,51,5,4,0,0,4,0
41,51,0,4,0,0,4,0
97,55,1,4,0,0,4,0
231,55,0,4,0,0,4,0
618,63,0,4,0,0,4,0
