run,transitions,snapshot,sha256,violation,allowed_mean_q,allowed_min_q,allowed_max_q,max_abs_q,policy_churn
pilot_lr1e-04_target250\run_0,0,results\dqn\d6_20260917\pilot_lr1e-04_target250\run_0\snapshots\transition_000000000.npz,f81509e1820d5d2c7d50d63a261b69c3b35a66e792f54cf955c26c9c188a7a6a,False,-0.04172912612557411,-0.2143939733505249,0.12256818264722824,0.2143939733505249,
pilot_lr1e-04_target250\run_0,10259,results\dqn\d6_20260917\pilot_lr1e-04_target250\run_0\snapshots\transition_000010259.npz,cb1afbe6569cc745cddf7257875746f08f85f9054a351f6a136fc852db30f0bc,False,1.102643370628357,0.4788786470890045,1.7176332473754883,1.7176332473754883,0.809
pilot_lr1e-04_target250\run_0,20410,results\dqn\d6_20260917\pilot_lr1e-04_target250\run_0\snapshots\transition_000020410.npz,3697c94d69d90a5d763c1102528b70b485854654c204881be97dd115e0b90c02,False,3.4300103187561035,0.9606842994689941,5.000171184539795,5.000171184539795,0.136
pilot_lr1e-04_target250\run_0,30123,results\dqn\d6_20260917\pilot_lr1e-04_target250\run_0\snapshots\transition_000030123.npz,3de04883eed9203235da5ca9e8af6a81a6f3a5055e715eda808c7d01be77d92f,False,5.243546962738037,0.7192477583885193,8.009880065917969,8.009880065917969,0.108
pilot_lr1e-04_target250\run_0,40598,results\dqn\d6_20260917\pilot_lr1e-04_target250\run_0\snapshots\transition_000040598.npz,0509e4f7fb07f06459a7c37e63ef6b32438fe82172b71de8cf6c330113d68517,False,6.307459831237793,-0.15468314290046692,10.560051918029785,10.560051918029785,0.1675
pilot_lr1e-04_target250\run_0,50068,results\dqn\d6_20260917\pilot_lr1e-04_target250\run_0\snapshots\transition_000050068.npz,39d74115d9103a38d4616500f1c378bd7c356e3ee82d63cdd01af5ef6ee59f17,False,7.295178413391113,-0.6756483912467957,12.960698127746582,12.960698127746582,0.1275
pilot_lr3e-04_target1000\run_0,0,results\dqn\d6_20260917\pilot_lr3e-04_target1000\run_0\snapshots\transition_000000000.npz,6cacd4cdd4d7a4046df2ad6cbc9ff6173749084c975cff157868126b83ae6ba2,False,-0.04172912612557411,-0.2143939733505249,0.12256818264722824,0.2143939733505249,
pilot_lr3e-04_target1000\run_0,10103,results\dqn\d6_20260917\pilot_lr3e-04_target1000\run_0\snapshots\transition_000010103.npz,bdd1113bfded2f99defff01f00c13bf57120c515fe632977ef5f423ef57b4c6c,False,0.16883514821529388,-0.13852736353874207,0.6038581132888794,0.6038581132888794,0.8385
pilot_lr3e-04_target1000\run_0,20344,results\dqn\d6_20260917\pilot_lr3e-04_target1000\run_0\snapshots\transition_000020344.npz,8980c6762da0d01baab051bab7eed9d9ab7de6fad01f3fe701a795162a2a493c,False,0.5265607833862305,-0.3682551383972168,1.5646960735321045,1.5646960735321045,0.288
pilot_lr3e-04_target1000\run_0,30124,results\dqn\d6_20260917\pilot_lr3e-04_target1000\run_0\snapshots\transition_000030124.npz,c4302ee79b1a288fa2b67f489bea29a385d459d541b44ab45a6535b4aa56619e,False,1.1067261695861816,-0.4262318015098572,2.587677001953125,2.587677001953125,0.17
pilot_lr3e-04_target1000\run_0,40221,results\dqn\d6_20260917\pilot_lr3e-04_target1000\run_0\snapshots\transition_000040221.npz,c5ae2178294a17fb49e1ed41bbb93a8e6117646deaea50472f7eacd3aa246ee0,False,1.4135105609893799,-0.44012710452079773,3.2386131286621094,3.2386131286621094,0.1305
pilot_lr3e-04_target1000\run_0,50047,results\dqn\d6_20260917\pilot_lr3e-04_target1000\run_0\snapshots\transition_000050047.npz,ba1b3e407bff0de6e86d47bd95c7fd3ad6613d5ce83f5e678dc44f1b2c769e98,False,1.9067277908325195,-0.6067923307418823,4.210668087005615,4.210668087005615,0.185
pilot_lr3e-04_target250\run_0,0,results\dqn\d6_20260917\pilot_lr3e-04_target250\run_0\snapshots\transition_000000000.npz,ccc10c4564e48f32e293121c14ed81164a7f4d9b2c6ac0331fe062684613e27f,False,-0.04172912612557411,-0.2143939733505249,0.12256818264722824,0.2143939733505249,
pilot_lr3e-04_target250\run_0,10044,results\dqn\d6_20260917\pilot_lr3e-04_target250\run_0\snapshots\transition_000010044.npz,cc35c3536b75004161c91d978daaffa59b3369d79914db3f5c13f36d3f07847a,False,1.247394323348999,0.28507888317108154,2.106985330581665,2.106985330581665,0.7035
pilot_lr3e-04_target250\run_0,20699,results\dqn\d6_20260917\pilot_lr3e-04_target250\run_0\snapshots\transition_000020699.npz,79194eda02f89ce8b167371303da847634f97c4c93e30d1e3f2020a8c745e0f7,False,2.8092331886291504,-0.19556649029254913,5.259275436401367,5.259275436401367,0.2495
pilot_lr3e-04_target250\run_0,30241,results\dqn\d6_20260917\pilot_lr3e-04_target250\run_0\snapshots\transition_000030241.npz,7ba7811c6ee0bb96874b7c6e9b705754cf6661b83a1da7f79671aa60e45037dd,False,4.3759989738464355,-0.6867473125457764,8.247994422912598,8.247994422912598,0.098
pilot_lr3e-04_target250\run_0,40872,results\dqn\d6_20260917\pilot_lr3e-04_target250\run_0\snapshots\transition_000040872.npz,a72d7b9e3eb41859a7a1618ce3cf2503c0d63e0f86d9b48905f2f23022f32422,False,5.753844738006592,-1.038781762123108,10.987580299377441,10.987580299377441,0.0405
pilot_lr3e-04_target250\run_0,50095,results\dqn\d6_20260917\pilot_lr3e-04_target250\run_0\snapshots\transition_000050095.npz,3e404efbde6b674e702fd0b1a9b85a4add916c05531217a8154809f95eac87e1,False,7.001453399658203,-1.3407082557678223,13.669510841369629,13.669510841369629,0.069
