seed,transitions,updates,rounds,training_seconds,transitions_per_second,loss_first20,loss_last20,stable,run,phase,probe_max_abs_q,mean_coins,all50_fraction,mean_steps_all,mean_steps_success,max_steps,strict_126,deaths,invalid,timeouts,checkpoint,checkpoint_sha256
0,50047,11262,319,89.60681909999403,558.517761289479,0.021251632929206357,0.0864348058119077,False,pilot_lr3e-04_target1000/run_0,pilot,4.210668087005615,50.0,1.0,124.7,124.7,132,False,0,0,0,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/checkpoints/transition_000050047/checkpoint.pt,4de4b2cfae5b0794e6ab4cc53b0c126c6d590afd057ef412013b9c47139811cd
1,50115,11279,322,102.75741800000833,487.70201680229,0.02167663780423074,0.08873719647502919,False,diagnostic_baseline/run_1,diagnostic-replication,4.368194103240967,50.0,1.0,124.7,124.7,132,False,0,0,0,results/dqn/d6_20260917/diagnostic_baseline/run_1/checkpoints/transition_000050115/checkpoint.pt,f720f9e48207ee7ed57c2d7859e230bb6c046b4cd1fd791791d0bbe097e401a2
2,50072,11269,317,102.79509229998803,487.10496658609287,0.044767467676101014,0.08814998515315299,False,diagnostic_baseline/run_2,diagnostic-replication,4.5912909507751465,50.0,1.0,124.7,124.7,132,False,0,0,0,results/dqn/d6_20260917/diagnostic_baseline/run_2/checkpoints/transition_000050072/checkpoint.pt,c68f6dd8b8d4c0360edcf093c5552b3ba69f7ba391780c993b292e4237cf4704
