run,phase,seed,transitions,snapshot,snapshot_sha256,checkpoint,checkpoint_sha256,rounds,mean_coins,all50_fraction,mean_steps_all,mean_steps_success,max_steps,strict_126,deaths,invalid,timeouts,mean_max_q,max_q,max_abs_q,policy_churn
pilot_lr1e-04_target250/run_0,pilot,0,40598,results/dqn/d6_20260917/pilot_lr1e-04_target250/run_0/snapshots/transition_000040598.npz,0509e4f7fb07f06459a7c37e63ef6b32438fe82172b71de8cf6c330113d68517,results/dqn/d6_20260917/pilot_lr1e-04_target250/run_0/checkpoints/transition_000040598/checkpoint.pt,e397c87a8c07f76a29863e2671f0b40f28cf77677039840f2aae8e754426fd84,10,50.0,1.0,124.7,124.7,132,False,0,0,0,10.488409996032715,10.560051918029785,10.560051918029785,0.0045
pilot_lr1e-04_target250/run_0,pilot,0,50068,results/dqn/d6_20260917/pilot_lr1e-04_target250/run_0/snapshots/transition_000050068.npz,39d74115d9103a38d4616500f1c378bd7c356e3ee82d63cdd01af5ef6ee59f17,results/dqn/d6_20260917/pilot_lr1e-04_target250/run_0/checkpoints/transition_000050068/checkpoint.pt,9a6eaf40d491007704066a82b4c7d936b3161c72f400a6aa5621bf822d272e52,10,50.0,1.0,124.7,124.7,132,False,0,0,0,12.894850730895996,12.960698127746582,12.960698127746582,0.0
pilot_lr3e-04_target1000/run_0,pilot,0,0,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/snapshots/transition_000000000.npz,6cacd4cdd4d7a4046df2ad6cbc9ff6173749084c975cff157868126b83ae6ba2,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/checkpoints/transition_000000000/checkpoint.pt,b9781690a6a61bbcdc27dd1ee4b67ad8852cb5bba073c696090b61d7d3afe065,10,0.2,0.0,400.0,,400,False,0,0,0,0.07892841100692749,0.09527763724327087,0.16426682472229004,
pilot_lr3e-04_target1000/run_0,pilot,0,10103,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/snapshots/transition_000010103.npz,bdd1113bfded2f99defff01f00c13bf57120c515fe632977ef5f423ef57b4c6c,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/checkpoints/transition_000010103/checkpoint.pt,8d16e5a176a5288cba0632bb2c2a978698ccdda9e1ee78791f8f05e922294a5c,10,50.0,1.0,124.7,124.7,132,False,0,0,0,0.5576484799385071,0.6038581132888794,0.6038581132888794,0.9955
pilot_lr3e-04_target1000/run_0,pilot,0,20344,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/snapshots/transition_000020344.npz,8980c6762da0d01baab051bab7eed9d9ab7de6fad01f3fe701a795162a2a493c,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/checkpoints/transition_000020344/checkpoint.pt,857532e44c6147cea2ac2ebc51c14c222f898c5be84b1ba5989be46d13116ff2,10,50.0,1.0,124.7,124.7,132,False,0,0,0,1.2378315925598145,1.5646960735321045,1.5646960735321045,0.0
pilot_lr3e-04_target1000/run_0,pilot,0,30124,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/snapshots/transition_000030124.npz,c4302ee79b1a288fa2b67f489bea29a385d459d541b44ab45a6535b4aa56619e,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/checkpoints/transition_000030124/checkpoint.pt,6e927c29354aea19468786655a5d72181371237ff2c2aeb160e89ad083dbd105,10,50.0,1.0,124.7,124.7,132,False,0,0,0,2.337035894393921,2.587677001953125,2.587677001953125,0.0
pilot_lr3e-04_target1000/run_0,pilot,0,40221,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/snapshots/transition_000040221.npz,c5ae2178294a17fb49e1ed41bbb93a8e6117646deaea50472f7eacd3aa246ee0,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/checkpoints/transition_000040221/checkpoint.pt,9e20637df3d6b9971ba8cc068034b3c8529138bc41a8186e60f066b57c30d7bb,10,50.0,1.0,124.7,124.7,132,False,0,0,0,2.938088893890381,3.2386131286621094,3.2386131286621094,0.0
pilot_lr3e-04_target1000/run_0,pilot,0,50047,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/snapshots/transition_000050047.npz,ba1b3e407bff0de6e86d47bd95c7fd3ad6613d5ce83f5e678dc44f1b2c769e98,results/dqn/d6_20260917/pilot_lr3e-04_target1000/run_0/checkpoints/transition_000050047/checkpoint.pt,4de4b2cfae5b0794e6ab4cc53b0c126c6d590afd057ef412013b9c47139811cd,10,50.0,1.0,124.7,124.7,132,False,0,0,0,3.9509222507476807,4.210668087005615,4.210668087005615,0.0
pilot_lr3e-04_target250/run_0,pilot,0,0,results/dqn/d6_20260917/pilot_lr3e-04_target250/run_0/snapshots/transition_000000000.npz,ccc10c4564e48f32e293121c14ed81164a7f4d9b2c6ac0331fe062684613e27f,results/dqn/d6_20260917/pilot_lr3e-04_target250/run_0/checkpoints/transition_000000000/checkpoint.pt,42037e1cbc1cc2655824e5606a80c0483b471786418d0d0806b453e4afc605d0,10,0.2,0.0,400.0,,400,False,0,0,0,0.07892841100692749,0.09527763724327087,0.16426682472229004,
pilot_lr3e-04_target250/run_0,pilot,0,10044,results/dqn/d6_20260917/pilot_lr3e-04_target250/run_0/snapshots/transition_000010044.npz,cc35c3536b75004161c91d978daaffa59b3369d79914db3f5c13f36d3f07847a,results/dqn/d6_20260917/pilot_lr3e-04_target250/run_0/checkpoints/transition_000010044/checkpoint.pt,553f22dd9d01d71c42dc6c73293a9433f4d4a22d092f195e0a084e5340a69cb2,10,50.0,1.0,124.7,124.7,132,False,0,0,0,1.9648144245147705,2.106985330581665,2.106985330581665,0.9955
pilot_lr3e-04_target250/run_0,pilot,0,20699,results/dqn/d6_20260917/pilot_lr3e-04_target250/run_0/snapshots/transition_000020699.npz,79194eda02f89ce8b167371303da847634f97c4c93e30d1e3f2020a8c745e0f7,results/dqn/d6_20260917/pilot_lr3e-04_target250/run_0/checkpoints/transition_000020699/checkpoint.pt,cacd938f4ae1e7ab14aac9f6e6df85b082dc824b132b86998cf033a5487a2a63,10,50.0,1.0,127.8,127.8,145,False,0,0,0,5.08730936050415,5.259275436401367,5.259275436401367,0.0045
pilot_lr3e-04_target250/run_0,pilot,0,30241,results/dqn/d6_20260917/pilot_lr3e-04_target250/run_0/snapshots/transition_000030241.npz,7ba7811c6ee0bb96874b7c6e9b705754cf6661b83a1da7f79671aa60e45037dd,results/dqn/d6_20260917/pilot_lr3e-04_target250/run_0/checkpoints/transition_000030241/checkpoint.pt,4b17e00229b5b2a49316c9d337daa19f018a5133de680d48c9e412ab3b3c47b0,10,50.0,1.0,124.7,124.7,132,False,0,0,0,8.14677619934082,8.247994422912598,8.247994422912598,0.0045
pilot_lr3e-04_target250/run_0,pilot,0,40872,results/dqn/d6_20260917/pilot_lr3e-04_target250/run_0/snapshots/transition_000040872.npz,a72d7b9e3eb41859a7a1618ce3cf2503c0d63e0f86d9b48905f2f23022f32422,results/dqn/d6_20260917/pilot_lr3e-04_target250/run_0/checkpoints/transition_000040872/checkpoint.pt,6fee2ec2d0d60b294656a5511e7496bed918ebacc6f3a013cc3a5dc1b231f344,10,50.0,1.0,124.7,124.7,132,False,0,0,0,10.905871391296387,10.987579345703125,10.987579345703125,0.0
pilot_lr3e-04_target250/run_0,pilot,0,50095,results/dqn/d6_20260917/pilot_lr3e-04_target250/run_0/snapshots/transition_000050095.npz,3e404efbde6b674e702fd0b1a9b85a4add916c05531217a8154809f95eac87e1,results/dqn/d6_20260917/pilot_lr3e-04_target250/run_0/checkpoints/transition_000050095/checkpoint.pt,d4fb1a0ba449e037913665f45e164d238b7c27c164b395e5f647e1fe43f6a946,10,50.0,1.0,124.7,124.7,132,False,0,0,0,13.303021430969238,13.669510841369629,13.669510841369629,0.0
diagnostic_baseline/run_1,diagnostic-replication,1,0,results/dqn/d6_20260917/diagnostic_baseline/run_1/snapshots/transition_000000000.npz,b3ee6d7bf1a75324e1662aa6b22e939b6a626f600c8fffbb77d72906ec803cb2,results/dqn/d6_20260917/diagnostic_baseline/run_1/checkpoints/transition_000000000/checkpoint.pt,de7430c6f80c9ce0bb9539002f96a4dca233b1648d314f0580165de3397a1d06,10,0.2,0.0,400.0,,400,False,0,0,0,0.19422292709350586,0.19938012957572937,0.19938012957572937,
